# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
1246445	Nocardiopsis kunsanensis DSM 44524	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis kunsanensis,Nocardiopsis kunsanensis DSM 44524	1,131567,2,1783272,201174,1760,85012,83676,2013,141693,1246445
888059	Capnocytophaga sp. oral taxon 338 str. F0234	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. oral taxon 338,Capnocytophaga sp. oral taxon 338 str. F0234	1,131567,2,1783270,68336,976,117743,200644,49546,1016,710239,888059
428125	[Clostridium] leptum DSM 753	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,[Clostridium] leptum,[Clostridium] leptum DSM 753	1,131567,2,1783272,1239,186801,186802,541000,552397,1535,428125
96561	Desulfococcus oleovorans Hxd3	no rank	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus oleovorans,Desulfococcus oleovorans Hxd3	1,131567,2,1224,68525,28221,213118,213119,896,181663,96561
379899	Niabella	genus	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella	1,131567,2,1783270,68336,976,1853228,1853229,563835,379899
999411	Clostridium colicanis 209318	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium colicanis,Clostridium colicanis 209318	1,131567,2,1783272,1239,186801,186802,31979,1485,179628,999411
44011	Ferrimonas	genus	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas	1,131567,2,1224,1236,135622,267892,44011
680646	Rothia mucilaginosa DY-18	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia mucilaginosa,Rothia mucilaginosa DY-18	1,131567,2,1783272,201174,1760,85006,1268,32207,43675,680646
556325	Neomicrococcus aestuarii	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Neomicrococcus,Neomicrococcus aestuarii	1,131567,2,1783272,201174,1760,85006,1268,1868332,556325
1260251	Spiribacter salinus M19-40	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter salinus,Spiribacter salinus M19-40	1,131567,2,1224,1236,135613,72276,1335745,1335746,1260251
62654	SAR116 cluster	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified Alphaproteobacteria,SAR116 cluster	1,131567,2,1224,28211,82117,62654
253	Chryseobacterium indologenes	species	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium indologenes	1,131567,2,1783270,68336,976,117743,200644,49546,59732,253
1725411	Streptomyces sp. CdTB01	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. CdTB01	1,131567,2,1783272,201174,1760,85011,2062,1883,1725411
1690815	Pseudonocardia sp. HH130630-07	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp. HH130630-07	1,131567,2,1783272,201174,1760,85010,2070,1847,1690815
1159554	Cronobacter dublinensis subsp. dublinensis LMG 23823	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter dublinensis,Cronobacter dublinensis subsp. dublinensis,Cronobacter dublinensis subsp. dublinensis LMG 23823	1,131567,2,1224,1236,91347,543,413496,413497,413498,1159554
345632	Geobacter pickeringii	species	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter pickeringii	1,131567,2,1224,68525,28221,69541,213422,28231,345632
1091494	Methylomicrobium alcaliphilum 20Z	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium,Methylomicrobium alcaliphilum,Methylomicrobium alcaliphilum 20Z	1,131567,2,1224,1236,135618,403,39773,271065,1091494
352165	Pyramidobacter piscolens W5455	no rank	root,cellular organisms,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter,Pyramidobacter piscolens,Pyramidobacter piscolens W5455	1,131567,2,508458,649775,649776,649777,638847,638849,352165
109790	Lactobacillus jensenii	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus jensenii	1,131567,2,1783272,1239,91061,186826,33958,1578,109790
1335745	Spiribacter	genus	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter	1,131567,2,1224,1236,135613,72276,1335745
1736466	Pseudolabrys sp. Root1462	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,Pseudolabrys sp. Root1462	1,131567,2,1224,28211,356,335928,556257,1736466
1920667	Mycobacterium sp. WY10	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. WY10	1,131567,2,1783272,201174,1760,85007,1762,1763,1920667
1736580	Pelomonas sp. Root662	species	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Pelomonas sp. Root662	1,131567,2,1224,28216,80840,80864,335058,1736580
1742858	Chryseobacterium sp. JAH	species	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. JAH	1,131567,2,1783270,68336,976,117743,200644,49546,59732,1742858
1235990	Candidatus Pantoea carbekii	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Candidatus Pantoea carbekii	1,131567,2,1224,1236,91347,1903409,53335,1235990
498848	Thermus aquaticus Y51MC23	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus aquaticus,Thermus aquaticus Y51MC23	1,131567,2,1783272,1297,188787,68933,188786,270,271,498848
1123055	Pararheinheimera texasensis DSM 17496	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Pararheinheimera,Pararheinheimera texasensis,Pararheinheimera texasensis DSM 17496	1,131567,2,1224,1236,135613,1046,2071980,306205,1123055
484020	Bifidobacterium bifidum BGN4	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,Bifidobacterium bifidum BGN4	1,131567,2,1783272,201174,1760,85004,31953,1678,1681,484020
517417	Chlorobaculum parvum NCIB 8327	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum parvum,Chlorobaculum parvum NCIB 8327	1,131567,2,1783270,68336,1090,191410,191411,191412,256319,274539,517417
1408159	Thermotoga caldifontis AZM44c09	no rank	root,cellular organisms,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga caldifontis,Thermotoga caldifontis AZM44c09	1,131567,2,200918,188708,2419,188709,2335,1508419,1408159
186827	Aerococcaceae	family	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae	1,131567,2,1783272,1239,91061,186826,186827
1324350	Acinetobacter equi	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter equi	1,131567,2,1224,1236,72274,468,469,1324350
189381	Bacillus marisflavi	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus marisflavi	1,131567,2,1783272,1239,91061,1385,186817,1386,189381
1034807	Flavobacterium branchiophilum FL-15	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium branchiophilum,Flavobacterium branchiophilum FL-15	1,131567,2,1783270,68336,976,117743,200644,49546,237,55197,1034807
1348662	Corynebacterium argentoratense DSM 44202	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium argentoratense,Corynebacterium argentoratense DSM 44202	1,131567,2,1783272,201174,1760,85007,1653,1716,42817,1348662
1089551	Geminicoccus roseus DSM 18922	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Geminicoccaceae,Geminicoccus,Geminicoccus roseus,Geminicoccus roseus DSM 18922	1,131567,2,1224,28211,204441,2066434,489140,404900,1089551
1489064	Kiloniella spongiae	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Kiloniella,Kiloniella spongiae	1,131567,2,1224,28211,597358,597359,454159,1489064
218140	Bifidobacterium psychraerophilum	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium psychraerophilum	1,131567,2,1783272,201174,1760,85004,31953,1678,218140
1358	Lactococcus lactis	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis	1,131567,2,1783272,1239,91061,186826,1300,1357,1358
574976	Holophagaceae	family	root,cellular organisms,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae	1,131567,2,57723,533205,574975,574976
1049970	Leptospira kmetyi serovar Malaysia str. Bejo-Iso9	no rank	root,cellular organisms,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira kmetyi,Leptospira kmetyi serovar Malaysia,Leptospira kmetyi serovar Malaysia str. Bejo-Iso9	1,131567,2,203691,203692,1643688,170,171,408139,408140,1049970
1618023	Aliterella atlantica CENA595	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,Chroococcidiopsidales,Chroococcidiopsidaceae,Aliterella,Aliterella atlantica,Aliterella atlantica CENA595	1,131567,2,1783272,1798711,1117,1890505,1890528,1827277,1827278,1618023
1423745	Lactobacillus florum DSM 22689 = JCM 16035	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus florum,Lactobacillus florum DSM 22689 = JCM 16035	1,131567,2,1783272,1239,91061,186826,33958,1578,640331,1423745
1813	Amycolatopsis	genus	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis	1,131567,2,1783272,201174,1760,85010,2070,1813
1392540	Acinetobacter nectaris CIP 110549	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter nectaris,Acinetobacter nectaris CIP 110549	1,131567,2,1224,1236,72274,468,469,1219382,1392540
320778	Photobacterium ganghwense	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium ganghwense	1,131567,2,1224,1236,135623,641,657,320778
292	Burkholderia cepacia	species	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex,Burkholderia cepacia	1,131567,2,1224,28216,80840,119060,32008,87882,292
1444770	Xylella taiwanensis	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,Xylella taiwanensis	1,131567,2,1224,1236,135614,32033,2370,1444770
525897	Desulfomicrobium baculatum DSM 4028	no rank	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium baculatum,Desulfomicrobium baculatum DSM 4028	1,131567,2,1224,68525,28221,213115,213116,898,899,525897
1108045	Gordonia rhizosphera NBRC 16068	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia rhizosphera,Gordonia rhizosphera NBRC 16068	1,131567,2,1783272,201174,1760,85007,85026,2053,83341,1108045
1298863	Marmoricola sp. URHB0036	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,Marmoricola sp. URHB0036	1,131567,2,1783272,201174,1760,85009,85015,86795,1298863
80811	Cystobacterineae	suborder	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae	1,131567,2,1224,68525,28221,29,80811
45658	Vibrio scophthalmi	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio scophthalmi	1,131567,2,1224,1236,135623,641,662,45658
246197	Myxococcus xanthus DK 1622	no rank	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus,Myxococcus xanthus,Myxococcus xanthus DK 1622	1,131567,2,1224,68525,28221,29,80811,31,32,34,246197
1302272	Lactobacillus kimchicus JCM 15530	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kimchicus,Lactobacillus kimchicus JCM 15530	1,131567,2,1783272,1239,91061,186826,33958,1578,528209,1302272
1623448	Methylophilales bacterium MBRSF5	species	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,unclassified Nitrosomonadales,Methylophilales bacterium MBRSF5	1,131567,2,1224,28216,32003,1660158,1623448
1120948	Actinomycetospora chiangmaiensis DSM 45062	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora chiangmaiensis,Actinomycetospora chiangmaiensis DSM 45062	1,131567,2,1783272,201174,1760,85010,2070,402649,402650,1120948
119060	Burkholderiaceae	family	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae	1,131567,2,1224,28216,80840,119060
882084	Saccharomonospora paurometabolica YIM 90007	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora paurometabolica,Saccharomonospora paurometabolica YIM 90007	1,131567,2,1783272,201174,1760,85010,2070,1851,208085,882084
113395	Bradyrhizobium sp. Tv2a-2	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. Tv2a-2	1,131567,2,1224,28211,356,41294,374,113395
355249	Streptomyces sp. Tu6071	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. Tu6071	1,131567,2,1783272,201174,1760,85011,2062,1883,355249
188708	Thermotogae	class	root,cellular organisms,Bacteria,Thermotogae,Thermotogae	1,131567,2,200918,188708
93219	Pandoraea norimbergensis	species	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea norimbergensis	1,131567,2,1224,28216,80840,119060,93217,93219
413882	[Polyangium] brachysporum	species	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified Burkholderiales,[Polyangium] brachysporum	1,131567,2,1224,28216,80840,119065,413882
1211777	Rhizobium mesoamericanum STM3625	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium,Rhizobium mesoamericanum,Rhizobium mesoamericanum STM3625	1,131567,2,1224,28211,356,82115,227290,379,1079800,1211777
630626	Shimwellia blattae DSM 4481 = NBRC 105725	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shimwellia,Shimwellia blattae,Shimwellia blattae DSM 4481 = NBRC 105725	1,131567,2,1224,1236,91347,543,1335483,563,630626
1121866	Enterorhabdus mucosicola DSM 19490	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Enterorhabdus,Enterorhabdus mucosicola,Enterorhabdus mucosicola DSM 19490	1,131567,2,1783272,201174,84998,1643822,1643826,580024,580026,1121866
450851	Phenylobacterium zucineum HLK1	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium zucineum,Phenylobacterium zucineum HLK1	1,131567,2,1224,28211,204458,76892,20,284016,450851
1423721	Lactobacillus amylophilus DSM 20533 = JCM 1125	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylophilus,Lactobacillus amylophilus DSM 20533 = JCM 1125	1,131567,2,1783272,1239,91061,186826,33958,1578,1603,1423721
31983	Helcococcus	genus	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus	1,131567,2,1783272,1239,1737404,1737405,1570339,31983
429009	Ammonifex degensii KC4	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella group,Ammonifex,Ammonifex degensii,Ammonifex degensii KC4	1,131567,2,1783272,1239,186801,68295,186814,42857,42837,42838,429009
1736399	Tetrasphaera sp. Soil756	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,Tetrasphaera sp. Soil756	1,131567,2,1783272,201174,1760,85006,85021,99479,1736399
262324	Lysobacter gummosus	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter gummosus	1,131567,2,1224,1236,135614,32033,68,262324
684063	Paenibacillus algorifonticola	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus algorifonticola	1,131567,2,1783272,1239,91061,1385,186822,44249,684063
47760	Streptomyces aurantiacus	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces aurantiacus	1,131567,2,1783272,201174,1760,85011,2062,1883,47760
1123013	Pseudoclavibacter soli DSM 23366	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pseudoclavibacter,Pseudoclavibacter soli,Pseudoclavibacter soli DSM 23366	1,131567,2,1783272,201174,1760,85006,85023,255204,452623,1123013
582402	Hirschia baltica ATCC 49814	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,Hirschia baltica,Hirschia baltica ATCC 49814	1,131567,2,1224,28211,204455,69657,2723,2724,582402
911238	Staphylococcus simiae CCM 7213 = CCUG 51256	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus simiae,Staphylococcus simiae CCM 7213 = CCUG 51256	1,131567,2,1783272,1239,91061,1385,90964,1279,308354,911238
1158607	Enterococcus pallens ATCC BAA-351	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus pallens,Enterococcus pallens ATCC BAA-351	1,131567,2,1783272,1239,91061,186826,81852,1350,160454,1158607
211586	Shewanella oneidensis MR-1	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella oneidensis,Shewanella oneidensis MR-1	1,131567,2,1224,1236,135622,267890,22,70863,211586
36809	Mycobacteroides abscessus	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus	1,131567,2,1783272,201174,1760,85007,1762,670516,36809
1284708	Tissierellia bacterium S7-1-4	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Tissierellia,unclassified Tissierellia,unclassified Tissierellia (miscellaneous),Tissierellia bacterium S7-1-4	1,131567,2,1783272,1239,1737404,1737407,1737408,1284708
29331	Amphibacillus	genus	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus	1,131567,2,1783272,1239,91061,1385,186817,29331
573061	Clostridium cellulovorans 743B	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium cellulovorans,Clostridium cellulovorans 743B	1,131567,2,1783272,1239,186801,186802,31979,1485,1493,573061
465817	Erwinia tasmaniensis Et1/99	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia tasmaniensis,Erwinia tasmaniensis Et1/99	1,131567,2,1224,1236,91347,1903409,551,338565,465817
487796	Flavobacteria bacterium MS024-2A	species	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,unclassified Flavobacteriia,Flavobacteria bacterium MS024-2A	1,131567,2,1783270,68336,976,117743,117744,487796
1125779	Corynebacterium pyruviciproducens ATCC BAA-1742	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pyruviciproducens,Corynebacterium pyruviciproducens ATCC BAA-1742	1,131567,2,1783272,201174,1760,85007,1653,1716,598660,1125779
909932	Negativicutes	class	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Negativicutes	1,131567,2,1783272,1239,909932
1385935	Leptolyngbya sp. Heron Island J	species	root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. Heron Island J	1,131567,2,1783272,1798711,1117,1890424,1890438,47251,1385935
1236979	Marinifilum fragile JCM 15579	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinifilaceae,Marinifilum,Marinifilum fragile,Marinifilum fragile JCM 15579	1,131567,2,1783270,68336,976,200643,1970189,1573805,866673,570161,1236979
915437	Saccharibacillus sacchari DSM 19268	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,Saccharibacillus sacchari,Saccharibacillus sacchari DSM 19268	1,131567,2,1783272,1239,91061,1385,186822,456492,456493,915437
1122158	Leeia oryzae DSM 17879	no rank	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Leeia,Leeia oryzae,Leeia oryzae DSM 17879	1,131567,2,1224,28216,206351,1499392,650341,356662,1122158
512763	Rufibacter tibetensis	species	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter tibetensis	1,131567,2,1783270,68336,976,768503,768507,1853232,1379908,512763
830	Butyrivibrio	genus	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio	1,131567,2,1783272,1239,186801,186802,186803,830
431943	Clostridium kluyveri DSM 555	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium kluyveri,Clostridium kluyveri DSM 555	1,131567,2,1783272,1239,186801,186802,31979,1485,1534,431943
871963	Desulfitobacterium dichloroeliminans LMG P-21439	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,Desulfitobacterium dichloroeliminans,Desulfitobacterium dichloroeliminans LMG P-21439	1,131567,2,1783272,1239,186801,186802,186807,36853,233055,871963
1121902	Eisenibacter elegans DSM 3317	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Cytophagia,Cytophagales,Microscillaceae,Eisenibacter,Eisenibacter elegans,Eisenibacter elegans DSM 3317	1,131567,2,1783270,68336,976,768503,768507,1937962,1937963,997,1121902
1007676	Lactobacillus ginsenosidimutans	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus ginsenosidimutans	1,131567,2,1783272,1239,91061,186826,33958,1578,1007676
111780	Stanieria cyanosphaera PCC 7437	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,Pleurocapsales,Dermocarpellaceae,Stanieria,Stanieria cyanosphaera,Stanieria cyanosphaera PCC 7437	1,131567,2,1783272,1798711,1117,52604,1890498,102115,102116,111780
1074488	Brachybacterium squillarum M-6-3	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium squillarum,Brachybacterium squillarum M-6-3	1,131567,2,1783272,201174,1760,85006,85020,43668,661979,1074488
641112	Ruminococcus flavefaciens FD-1	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus flavefaciens,Ruminococcus flavefaciens FD-1	1,131567,2,1783272,1239,186801,186802,541000,1263,1265,641112
525255	Anaerococcus tetradius ATCC 35098	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus tetradius,Anaerococcus tetradius ATCC 35098	1,131567,2,1783272,1239,1737404,1737405,1570339,165779,33036,525255
