# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
1380392	Nocardioides sp. URHA0020	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. URHA0020	1,131567,2,1783272,201174,1760,85009,85015,1839,1380392
1182571	Deinococcus swuensis	species	root,cellular organisms,Bacteria,Terrabacteria group,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus swuensis	1,131567,2,1783272,1297,188787,118964,183710,1298,1182571
1641402	Pseudonocardia sp. HH130629-09	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp. HH130629-09	1,131567,2,1783272,201174,1760,85010,2070,1847,1641402
1074000	Cronobacter universalis NCTC 9529	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter universalis,Cronobacter universalis NCTC 9529	1,131567,2,1224,1236,91347,543,413496,535744,1074000
71999	Kocuria palustris	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria palustris	1,131567,2,1783272,201174,1760,85006,1268,57493,71999
883080	Afipia felis ATCC 53690	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia felis,Afipia felis ATCC 53690	1,131567,2,1224,28211,356,41294,1033,1035,883080
1163	Anabaena	genus	root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,Nostocales,Nostocaceae,Anabaena	1,131567,2,1783272,1798711,1117,1161,1162,1163
314254	Oceanicaulis sp. HTCC2633	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis sp. HTCC2633	1,131567,2,1224,28211,204455,69657,153232,314254
285983	Bacillus subterraneus	species	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subterraneus	1,131567,2,1783272,1239,91061,1385,186817,1386,285983
407	Methylobacterium	genus	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium	1,131567,2,1224,28211,356,119045,407
1125973	Bosea sp. 117	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Bosea sp. 117	1,131567,2,1224,28211,356,41294,85413,1125973
